"ID","Dbin","Lac10","Lac25","Lac50","dr","dr2","dr3"
"117","25",0.251720468485602,0.104248049074531,0.0474146903995636,0.025,0.000625,1.5625e-05
"117","75",0.231911293567154,0.099045337631868,0.0409009177563782,0.075,0.005625,0.000421875
"117","125",0.204118578797904,0.0762602260784091,0.0359116278599188,0.125,0.015625,0.001953125
"117","175",0.266766038592782,0.131405836148791,0.0795580819466107,0.175,0.030625,0.005359375
"117","225",0.293146202418387,0.14612998241642,0.107626689374833,0.225,0.050625,0.011390625
"117","275",0.331231337426697,0.16988044547523,0.137893679672031,0.275,0.075625,0.020796875
"117","325",0.398087583349568,0.233254459578855,0.177325795858028,0.325,0.105625,0.034328125
"117","375",0.307133031363176,0.159062315775381,0.122014786795875,0.375,0.140625,0.052734375
"117","425",0.282735553872222,0.1252844249533,0.0630215182713773,0.425,0.180625,0.076765625
"117","475",0.29077657437488,0.150891169351384,0.0707479646895661,0.475,0.225625,0.107171875
"117","525",0.327900105489701,0.158306606228144,0.0759142823317946,0.525,0.275625,0.144703125
"117","575",0.257103331400017,0.0885791178999354,0.0292961842203074,0.575,0.330625,0.190109375
"117","625",0.23395653466819,0.0974874971099365,0.0348650609244068,0.625,0.390625,0.244140625
"117","675",0.216251161712572,0.0696236195490233,0.0228649366601958,0.675,0.455625,0.307546875
"117","725",0.185130775074008,0.022518135391625,0.00736958681939283,0.725,0.525625,0.381078125
"369","175",0.499836654751714,0.179719573314063,0.0591507946214689,0.175,0.030625,0.005359375
"369","225",0.501481360549101,0.291674299467157,0.150611042338011,0.225,0.050625,0.011390625
"369","275",0.234612520938948,0.107525311286539,0.0771071256929089,0.275,0.075625,0.020796875
"369","325",0.257406252640619,0.0893087084135048,0.0453506912562686,0.325,0.105625,0.034328125
"369","375",0.316694069580323,0.116222819447365,0.0383745944055962,0.375,0.140625,0.052734375
"369","425",0.311086199007911,0.0995022601341983,0.0472699461214224,0.425,0.180625,0.076765625
"369","475",0.299729564735396,0.116441661980929,0.0632499705451495,0.475,0.225625,0.107171875
"369","525",0.366309930773446,0.174286815621988,0.10669798818601,0.525,0.275625,0.144703125
"369","575",0.355426313817533,0.153815480835782,0.0773022161666303,0.575,0.330625,0.190109375
"369","625",0.309513516530141,0.102123791067058,0.050358091556574,0.625,0.390625,0.244140625
"369","675",0.30483077425168,0.106697823394637,0.0406745108531034,0.675,0.455625,0.307546875
"369","725",0.343241873982253,0.141810327006698,0.0669934997515288,0.725,0.525625,0.381078125
"369","775",0.325391180142027,0.115986158920203,0.04871294844126,0.775,0.600625,0.465484375
"369","825",0.318019800538021,0.102360497948003,0.0413945406433313,0.825,0.680625,0.561515625
"369","875",0.226482045281283,0.0724743420907659,0.0204706994690081,0.875,0.765625,0.669921875
"369","925",0.203881885708763,0.0535051993373466,0.0123486074668049,0.925,0.855625,0.791453125
"369","975",0.294887615885096,0.0833128408242028,0.00884246153418347,0.975,0.950625,0.926859375
"422","25",0.153657006955443,0.0831678942437346,0.0526102711019338,0.025,0.000625,1.5625e-05
"422","75",0.165867516121656,0.0763817479090448,0.0349615711824467,0.075,0.005625,0.000421875
"422","125",0.177267280942904,0.0860895516975779,0.0446977798622173,0.125,0.015625,0.001953125
"422","175",0.183998650766695,0.0812387656090965,0.042766810889215,0.175,0.030625,0.005359375
"422","225",0.205554847269825,0.112207104746083,0.0647544652751234,0.225,0.050625,0.011390625
"422","275",0.221641619222281,0.0973841675109419,0.0546784934941526,0.275,0.075625,0.020796875
"422","325",0.237879890948932,0.117461374025618,0.0759443592859305,0.325,0.105625,0.034328125
"422","375",0.264820249180484,0.112073573967055,0.0431232721723468,0.375,0.140625,0.052734375
"422","425",0.295886491144149,0.124814993922134,0.0623280609970102,0.425,0.180625,0.076765625
"422","475",0.269337319943352,0.125507949626614,0.0627332900917534,0.475,0.225625,0.107171875
"422","525",0.289240117871906,0.107105863352711,0.043867476773533,0.525,0.275625,0.144703125
"422","575",0.300209169570915,0.113823122148147,0.0470738630504519,0.575,0.330625,0.190109375
"422","625",0.562428120941632,0.290797787628236,0.158631193935558,0.625,0.390625,0.244140625
"783","25",0.366593099557576,0.162530114909384,0.0774591787171148,0.025,0.000625,1.5625e-05
"783","75",0.343513486086756,0.126790829331176,0.0762157289207249,0.075,0.005625,0.000421875
"783","125",0.279806875961627,0.105883873735977,0.0447009872650866,0.125,0.015625,0.001953125
"783","175",0.342335373624019,0.0997269602245413,0.0478938580016588,0.175,0.030625,0.005359375
"783","225",0.263604615804719,0.118192358264884,0.0418650919837257,0.225,0.050625,0.011390625
"783","275",0.241745890918532,0.0431758893463679,0.0183404048951906,0.275,0.075625,0.020796875
"783","325",0.156036670012992,0.0410733141496921,0.0166606087969975,0.325,0.105625,0.034328125
"783","375",0.166503185557282,0.0448616605542856,0.0120540391679233,0.375,0.140625,0.052734375
"783","425",0.142539566345002,0.0330479652546973,0.012294675144819,0.425,0.180625,0.076765625
"783","475",0.132653588513423,0.0318866009012642,0.0107092213561864,0.475,0.225625,0.107171875
"783","525",0.0218494175573692,0.0486064942328595,NA,0.525,0.275625,0.144703125
"787","325",0.00610629408097762,0.00187494456532022,NA,0.325,0.105625,0.034328125
"787","375",0.0342623475279494,0.0104154054432008,0.002635992551172,0.375,0.140625,0.052734375
"787","425",0.0333057715102831,0.02682349206806,0.00773735415824326,0.425,0.180625,0.076765625
"787","475",0.0557374876675347,0.0187491411550046,0.0109473740821611,0.475,0.225625,0.107171875
"787","525",0.0693955646716814,0.0275838261075781,0.0108790715725852,0.525,0.275625,0.144703125
"787","575",0.0785584436810363,0.0166107582693018,0.00640902506837501,0.575,0.330625,0.190109375
"787","625",0.0349289428476865,0.0111983344132065,0.00558802442666239,0.625,0.390625,0.244140625
"787","675",0.0508750491075676,0.016536272483508,0.00695111963224226,0.675,0.455625,0.307546875
"787","725",0.0246402438397289,0.0117368583829096,0.0059760389214777,0.725,0.525625,0.381078125
"787","775",0.0116700520866991,0.00529758053343381,0.00402004262462954,0.775,0.600625,0.465484375
"787","825",0.057823947216162,0.0270457681601346,0.00995181227749382,0.825,0.680625,0.561515625
